Mobile phone-Benefit,157716,," 38,807.39 ", 545.83 , 390.00 ," 1,499.75 "," 1,221.00 "," 1,500.00 "," 1,188.96 ", -   ," 1,500.00 "," 1,987.43 "," 1,026.03 ", 750.00 ," 1,500.00 "," 1,500.00 ", 815.57 ," 1,425.71 "," 1,200.00 "," 1,470.60 "," 1,499.70 "," 1,453.50 "," 1,499.72 "," 1,500.00 "," 1,500.00 "," 1,500.00 ", -   , -   ," 1,493.18 "," 1,500.00 "," 1,500.00 "," 1,350.00 "," 1,500.00 ", -   ," 1,490.40 ", -   , -   , -   , -   , -   ," 1,500.00 ", -   ,,,,,,,,,,,,40, 69.00 ,34,,,,,,,,,,,
Meals benefit,,," 15,000.00 ",,, 600.00 , 600.00 , -   ,,,,,,,, -   , 600.00 , 600.00 , 600.00 ,,, 600.00 ,,,,,,,,,,,,, 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 ,,,,,,,,,,,,,,
Car/FBT benefit,"-157,716.00 "," 735,284.26 "," 681,476.88 ",,," 6,666.67 "," 6,666.67 ",," 160,005.16 ",,," 125,367.93 "," 125,367.93 "," 125,367.93 "," 125,367.93 ",," 6,666.67 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OT allowance,,," 27,353.83 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,," 10,728.60 ", -   ," 1,163.70 ", -   , -   , -   , -   ," 2,987.07 ", -   , -   , 968.78 , -   ," 2,301.14 "," 1,227.27 "," 3,272.73 "," 2,454.55 "," 1,636.36 ", 613.64 ," 27,353.83 "," 44,851.52 "," 28,237.78 ",,,,,,, -   ,,,,
Bonus/Gain share/Commission," 6,378,341.66 "," 299,309.78 ", -   ,,,,, -   ,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   ,,," 14,154.28 ",,,,,,,,,,,
Transport allowance," 6,133,879.16 ",," 97,869.87 ", -   ,," 5,437.22 "," 5,437.22 ",,,,,,,,, -   ," 5,437.22 "," 5,437.22 "," 5,437.22 ",,,, -   ,,,,,,,,,,,,," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 "," 5,437.22 ",,,,,,,,,,,,,,,,,,,
Severance/Ex-gratia/Service,,, -   , -   , -   , -   , -   , -   , -   ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
https://www.kra.go.ke/news-center/public-notices/2104-fringe-benefit-tax-and-deemed-interest-rate-4,,," 735,284.26 ", 545.83 , 390.00 ," 8,766.42 "," 8,487.67 "," 1,500.00 "," 161,194.12 ", -   ," 1,500.00 "," 127,355.36 "," 126,393.96 "," 126,117.93 "," 126,867.93 "," 1,500.00 "," 8,082.24 "," 2,025.71 "," 1,800.00 "," 1,470.60 "," 1,499.70 "," 2,053.50 "," 1,499.72 "," 1,500.00 "," 1,500.00 "," 1,500.00 ", -   , -   ," 1,493.18 "," 1,500.00 "," 1,500.00 "," 1,350.00 "," 1,500.00 ", -   ," 2,090.40 ", 600.00 , 600.00 , 600.00 , 600.00 , 600.00 ," 2,100.00 ", 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 , 600.00 ,,,,,,,,,,,,,,
GROSS SALARY,," 6,458,620.25 "," 7,193,904.51 "," 398,597.58 "," 440,967.94 "," 254,836.56 "," 169,694.88 "," 551,500.00 "," 658,616.47 ", -   ," 401,500.00 "," 543,401.86 "," 546,161.28 "," 538,363.40 "," 496,347.04 "," 251,500.00 "," 142,653.31 "," 103,746.94 "," 92,121.20 "," 92,112.63 "," 58,945.97 "," 49,855.68 "," 54,059.46 "," 54,082.89 "," 49,302.45 "," 49,302.18 ", -   , -   ," 49,295.36 "," 45,915.50 "," 45,915.50 "," 45,765.50 "," 45,915.50 ", -   ," 145,538.39 "," 69,216.76 "," 66,630.51 "," 52,714.46 "," 44,118.48 "," 47,084.72 "," 52,029.72 "," 41,957.06 "," 47,966.78 "," 52,347.22 "," 52,347.22 "," 44,895.99 "," 61,037.22 "," 53,338.35 "," 25,827.27 "," 27,872.73 "," 27,054.55 "," 26,236.36 "," 25,213.64 ",,,,,,,,,,,,,,
REFUNDS,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,
MONTHLY TAXABLE,AMT,CUM AMT,,,,,,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OT Calculation,,Per Day,,Per Hour,,,,,,,
INCOME,,, 163.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal OT,Other OT,Normal OT,Other OT,,,,,,
,,,,   ,,,,,   ,,,,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASIC,1.5,2,1.5,2,,NT,DT,Variance,,
1.LESS THAN KHS.24000," 2,400.00 "," 2,400.00 ",,,, -   , -   , -   ,,,, -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2,400.00 "," 2,400.00 "," 2,400.00 "," 2,400.00 "," 2,400.00 ",, 1 ,1032," 52,450.94 "," 3,576.20 "," 4,768.27 ", 447.03 , 596.03 ,1032,424.7269277,566.3025703, 22.30 , 29.73 ,
